<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^DJI,D,20080103,000000,13044.12,13197.43,12968.44,13056.72,3429500000,0
^DJI,D,20080104,000000,13046.56,13049.65,12740.51,12800.18,4166000000,0
^DJI,D,20080107,000000,12801.15,12984.95,12640.44,12827.49,4221260000,0
^DJI,D,20080108,000000,12820.90,12998.11,12511.03,12589.07,4705390000,0
^DJI,D,20080109,000000,12590.21,12814.97,12431.53,12735.31,5351030000,0
^DJI,D,20080110,000000,12733.11,12931.29,12632.15,12853.09,5170490000,0
^DJI,D,20080111,000000,12850.74,12863.34,12495.91,12606.30,4495840000,0
^DJI,D,20080114,000000,12613.78,12866.10,12596.95,12778.15,3682090000,0
^DJI,D,20080115,000000,12777.50,12777.50,12425.92,12501.11,4601640000,0
^DJI,D,20080116,000000,12476.81,12699.05,12294.48,12466.16,5440620000,0
^DJI,D,20080117,000000,12467.05,12597.85,12089.38,12159.21,5303130000,0
^DJI,D,20080118,000000,12159.94,12441.85,11953.71,12099.30,6004840000,0
^DJI,D,20080122,000000,12092.72,12167.42,11508.74,11971.19,6544690000,0
^DJI,D,20080123,000000,11969.08,12339.10,11530.12,12270.17,3241680000,0
^DJI,D,20080124,000000,12272.69,12522.82,12114.83,12378.61,5735300000,0
^DJI,D,20080125,000000,12391.70,12590.69,12103.61,12207.17,4882250000,0
^DJI,D,20080128,000000,12205.71,12423.81,12061.42,12383.89,4100930000,0
^DJI,D,20080129,000000,12385.19,12604.92,12262.29,12480.30,4232960000,0
^DJI,D,20080130,000000,12480.14,12715.96,12311.55,12442.83,4742760000,0
^DJI,D,20080131,000000,12438.28,12734.74,12197.09,12650.36,4970290000,0
^DJI,D,20080201,000000,12638.17,12841.88,12510.05,12743.19,4650770000,0
^DJI,D,20080204,000000,12743.11,12810.34,12557.61,12635.16,3495780000,0
^DJI,D,20080205,000000,12631.85,12631.85,12234.97,12265.13,4315740000,0
^DJI,D,20080206,000000,12257.25,12436.33,12142.14,12200.10,4008120000,0
^DJI,D,20080207,000000,12196.20,12366.99,12045.00,12247.00,4589160000,0
^DJI,D,20080208,000000,12248.47,12330.97,12058.01,12182.13,3768490000,0
^DJI,D,20080211,000000,12181.89,12332.76,12006.79,12240.01,3593140000,0
^DJI,D,20080212,000000,12241.56,12524.12,12207.90,12373.41,4044640000,0
^DJI,D,20080213,000000,12368.12,12627.76,12354.22,12552.24,3856420000,0
^DJI,D,20080214,000000,12551.51,12611.26,12332.03,12376.98,3644760000,0
^DJI,D,20080215,000000,12376.66,12441.20,12216.68,12348.21,3583300000,0
^DJI,D,20080219,000000,12349.59,12571.11,12276.81,12337.22,3613550000,0
^DJI,D,20080220,000000,12333.31,12489.29,12159.42,12427.26,3870520000,0
^DJI,D,20080221,000000,12426.85,12545.79,12225.36,12284.30,3696660000,0
^DJI,D,20080222,000000,12281.09,12429.05,12116.92,12381.02,3572660000,0
^DJI,D,20080225,000000,12380.77,12612.47,12292.03,12570.22,3866350000,0
^DJI,D,20080226,000000,12569.48,12771.14,12449.08,12684.92,4096060000,0
^DJI,D,20080227,000000,12683.54,12815.59,12527.64,12694.28,3904700000,0
^DJI,D,20080228,000000,12689.28,12713.99,12463.32,12582.18,3938580000,0
^DJI,D,20080229,000000,12579.58,12579.58,12210.30,12266.39,4426730000,0
^DJI,D,20080303,000000,12264.36,12344.71,12101.29,12258.90,4117570000,0
^DJI,D,20080304,000000,12259.14,12291.22,11991.06,12213.80,4757180000,0
^DJI,D,20080305,000000,12204.93,12392.74,12105.36,12254.99,4277710000,0
^DJI,D,20080306,000000,12254.59,12267.86,12010.03,12040.39,4323460000,0
^DJI,D,20080307,000000,12039.09,12131.33,11778.66,11893.69,4565410000,0
^DJI,D,20080310,000000,11893.04,11993.75,11691.47,11740.15,4261240000,0
^DJI,D,20080311,000000,11741.33,12205.98,11741.33,12156.81,1033480000,0
^DJI,D,20080312,000000,12148.61,12360.58,12037.79,12110.24,4414280000,0
^DJI,D,20080313,000000,12096.49,12242.29,11832.88,12145.74,5073360000,0
^DJI,D,20080314,000000,12146.39,12249.86,11781.43,11951.09,1049040000,0
^DJI,D,20080317,000000,11946.45,12119.69,11650.44,11972.25,1588960000,0
^DJI,D,20080318,000000,11975.92,12411.63,11975.92,12392.66,1263390000,0
^DJI,D,20080319,000000,12391.52,12525.19,12077.27,12099.66,1203830000,0
^DJI,D,20080320,000000,12102.43,12434.34,12024.68,12361.32,2078450000,0
^DJI,D,20080324,000000,12361.97,12687.61,12346.17,12548.64,4499000000,0
^DJI,D,20080325,000000,12547.34,12639.82,12397.62,12532.60,4145120000,0
^DJI,D,20080326,000000,12531.79,12531.79,12309.62,12422.86,4055670000,0
^DJI,D,20080327,000000,12421.88,12528.13,12264.76,12302.46,4037930000,0
^DJI,D,20080328,000000,12303.92,12441.67,12164.22,12216.40,3686980000,0
^DJI,D,20080331,000000,12215.92,12384.84,12095.18,12262.89,4188990000,0
^DJI,D,20080401,000000,12266.64,12693.93,12266.64,12654.36,4745120000,0
^DJI,D,20080402,000000,12651.67,12790.28,12488.22,12608.92,4320440000,0
^DJI,D,20080403,000000,12604.69,12734.97,12455.04,12626.03,3920100000,0
^DJI,D,20080404,000000,12626.35,12738.30,12489.40,12609.42,3703100000,0
^DJI,D,20080407,000000,12612.59,12786.83,12550.22,12612.43,3747780000,0
^DJI,D,20080408,000000,12602.66,12664.38,12440.55,12576.44,3602500000,0
^DJI,D,20080409,000000,12574.65,12686.93,12416.53,12527.26,3556670000,0
^DJI,D,20080410,000000,12526.78,12705.90,12447.96,12581.98,3686150000,0
^DJI,D,20080411,000000,12579.78,12579.78,12280.89,12325.42,3723790000,0
^DJI,D,20080414,000000,12324.77,12430.86,12208.42,12302.06,3565020000,0
^DJI,D,20080415,000000,12303.60,12459.36,12223.97,12362.47,3581230000,0
^DJI,D,20080416,000000,12371.51,12670.56,12371.51,12619.27,4260370000,0
^DJI,D,20080417,000000,12617.40,12725.93,12472.71,12620.49,3713880000,0
^DJI,D,20080418,000000,12626.76,12965.47,12626.76,12849.36,4222380000,0
^DJI,D,20080421,000000,12850.91,12902.69,12666.08,12825.02,3420570000,0
