Date,Open,High,Low,Close,Volume,Adj Close
2007-09-24,829.20,831.31,823.78,824.75,000,824.75
2007-09-21,826.09,831.78,825.25,828.96,000,828.96
2007-09-20,829.92,830.80,823.89,825.25,000,825.25
2007-09-19,826.37,836.09,825.67,830.61,000,830.61
2007-09-18,803.31,825.78,802.51,825.69,000,825.69
2007-09-17,806.34,806.90,800.12,802.52,000,802.52
2007-09-14,805.18,814.80,800.38,806.90,000,806.90
2007-09-13,800.89,809.50,799.97,806.32,000,806.32
2007-09-12,799.47,804.37,796.93,800.02,000,800.02
2007-09-11,790.07,800.50,790.07,799.98,000,799.98
2007-09-10,792.06,795.63,782.49,789.35,000,789.35
2007-09-07,802.18,802.18,788.38,790.95,000,790.95
2007-09-06,801.05,805.94,798.29,804.33,000,804.33
2007-09-05,808.92,809.95,797.77,801.04,000,801.04
2007-09-04,801.31,813.73,800.43,809.95,000,809.95
2007-08-31,793.33,805.14,793.33,802.82,000,802.82
2007-08-30,793.86,797.63,788.32,791.91,000,791.91
2007-08-29,778.99,794.91,778.99,794.91,000,794.91
2007-08-28,796.45,796.65,777.88,778.02,000,778.02
2007-08-27,803.03,806.20,796.21,796.65,000,796.65
2007-08-24,794.04,803.49,793.04,803.49,000,803.49
2007-08-23,795.74,799.47,789.59,794.18,000,794.18
2007-08-22,786.49,795.66,786.49,795.11,000,795.11
2007-08-21,783.55,789.40,780.83,785.44,000,785.44
2007-08-20,783.82,787.30,775.96,784.08,000,784.08
2007-08-17,767.57,786.55,764.96,783.63,000,783.63
2007-08-16,762.62,767.33,742.84,764.96,000,764.96
2007-08-15,775.03,782.76,762.58,763.67,000,763.67
2007-08-14,790.25,791.87,775.21,775.35,000,775.35
2007-08-13,790.80,797.10,789.22,789.79,000,789.79
2007-08-10,788.29,794.22,776.28,789.71,000,789.71
2007-08-09,810.74,812.95,789.65,789.65,000,789.65
2007-08-08,802.86,817.06,801.72,813.08,000,813.08
2007-08-07,796.52,807.87,790.67,801.96,000,801.96
2007-08-06,780.57,796.81,775.52,796.81,000,796.81
2007-08-03,800.73,801.50,779.65,779.77,000,779.77
2007-08-02,796.95,803.13,794.44,800.91,000,800.91
2007-08-01,791.69,798.15,782.96,796.93,000,796.93
2007-07-31,802.74,810.16,791.52,792.11,000,792.11
2007-07-30,793.91,804.08,791.11,801.85,000,801.85
2007-07-27,806.23,809.45,793.72,793.72,000,793.72
2007-07-26,823.95,823.95,796.75,806.17,000,806.17
2007-07-25,823.49,829.45,818.02,825.37,000,825.37
2007-07-24,838.18,838.18,820.89,822.34,000,822.34
2007-07-23,836.53,842.37,835.67,839.14,000,839.14
2007-07-20,845.05,845.05,832.96,835.69,000,835.69
2007-07-19,842.69,846.96,841.85,845.73,000,845.73
2007-07-18,842.28,843.56,835.16,841.87,000,841.87
2007-07-17,844.01,846.94,842.74,843.58,000,843.58
2007-07-16,845.44,847.44,842.29,843.72,000,843.72
2007-07-13,842.53,846.91,841.40,845.65,000,845.65
2007-07-12,828.38,842.88,827.68,842.82,000,842.82
2007-07-11,822.76,827.91,820.78,827.70,000,827.70
2007-07-10,834.27,834.27,822.98,823.06,000,823.06
2007-07-09,834.06,836.04,832.14,834.78,000,834.78
2007-07-06,830.55,834.94,828.33,833.99,000,833.99
2007-07-05,830.04,831.39,826.55,830.80,000,830.80
2007-07-03,827.30,830.75,827.03,830.11,000,830.11
2007-07-02,819.10,827.18,818.17,827.18,000,827.18
2007-06-29,819.65,825.67,813.09,818.18,000,818.18
2007-06-28,819.35,824.28,818.06,819.28,000,819.28
2007-06-27,811.14,819.63,807.13,819.38,000,819.38
2007-06-26,814.84,818.93,810.77,811.88,000,811.88
2007-06-25,818.30,823.73,812.19,814.84,000,814.84
2007-06-22,828.52,828.52,817.28,818.01,000,818.01
2007-06-21,823.84,829.40,819.58,829.00,000,829.00
2007-06-20,835.38,837.14,823.88,824.09,000,824.09
2007-06-19,833.37,836.10,830.97,835.15,000,835.15
2007-06-18,832.91,836.44,832.91,833.78,000,833.78
2007-06-15,831.00,838.20,831.00,835.02,000,835.02
2007-06-14,825.44,831.62,825.44,829.59,000,829.59
2007-06-13,814.07,825.54,813.62,825.53,000,825.53
2007-06-12,821.72,823.59,813.87,813.89,000,813.89
2007-06-11,821.63,825.89,819.40,822.51,000,822.51
2007-06-08,812.81,821.93,810.79,821.85,000,821.85
2007-06-07,827.20,827.53,812.59,812.73,000,812.73
2007-06-06,834.53,835.44,825.80,827.54,000,827.54
2007-06-05,839.64,839.97,832.56,835.44,000,835.44
2007-06-04,837.91,840.59,836.35,840.01,000,840.01
2007-06-01,835.70,840.51,835.13,838.40,000,838.40
2007-05-31,834.48,837.67,833.51,835.14,000,835.14
2007-05-30,826.45,834.48,823.22,834.48,000,834.48
2007-05-29,825.67,829.58,824.38,827.67,000,827.67
2007-05-25,821.58,826.65,821.58,825.69,000,825.69
2007-05-24,829.61,833.47,819.95,821.20,000,821.20
2007-05-23,831.06,835.58,829.56,829.77,000,829.77
2007-05-22,831.07,833.70,829.77,831.05,000,831.05
2007-05-21,829.08,833.49,829.08,831.00,000,831.00
2007-05-18,824.35,829.21,823.79,829.05,000,829.05
2007-05-17,824.33,826.22,821.83,823.80,000,823.80
2007-05-16,818.08,824.52,817.56,824.52,000,824.52
2007-05-15,819.25,825.26,817.36,817.77,000,817.77
2007-05-14,821.15,823.78,816.84,819.41,000,819.41
2007-05-11,813.63,821.30,813.32,821.12,000,821.12
2007-05-10,824.19,824.77,813.38,813.41,000,813.41
2007-05-09,820.98,825.48,819.87,824.89,000,824.89
2007-05-08,822.36,822.76,817.72,821.94,000,821.94
2007-05-07,820.88,823.73,820.87,822.77,000,822.77
2007-05-04,819.51,823.22,818.72,820.89,000,820.89
2007-05-03,815.54,819.56,815.49,819.03,000,819.03
2007-05-02,809.95,817.37,809.82,815.68,000,815.68
2007-05-01,808.25,810.44,804.40,809.92,000,809.92
2007-04-30,814.67,816.13,807.79,807.82,000,807.82
2007-04-27,815.07,816.33,811.82,814.58,000,814.58
2007-04-26,815.71,817.00,813.18,815.05,000,815.05
2007-04-25,807.86,816.10,807.66,815.43,000,815.43
2007-04-24,808.50,809.53,804.12,807.74,000,807.74
2007-04-23,809.73,811.41,807.58,808.21,000,808.21
2007-04-20,803.69,809.88,802.60,809.76,000,809.76
2007-04-19,803.74,804.66,799.31,802.62,000,802.62
2007-04-18,802.76,806.05,800.40,803.91,000,803.91
2007-04-17,801.79,804.80,800.93,803.32,000,803.32
2007-04-16,793.60,801.82,793.60,801.71,000,801.71
2007-04-13,790.54,793.58,788.71,793.44,000,793.44
2007-04-12,785.97,790.76,783.13,790.65,000,790.65
2007-04-11,790.99,791.14,784.45,786.03,000,786.03
2007-04-10,789.16,791.60,788.89,791.17,000,791.17
2007-04-09,788.88,791.08,788.31,789.27,000,789.27
2007-04-05,785.81,789.21,784.83,788.62,000,788.62
2007-04-04,785.40,786.57,783.83,786.17,000,786.17
2007-04-03,778.60,786.72,777.78,785.22,000,785.22
2007-04-02,775.99,778.45,773.68,778.02,000,778.02
2007-03-30,776.61,780.34,769.72,775.97,000,775.97
2007-03-29,774.69,778.86,771.49,776.55,000,776.55
2007-03-28,779.31,779.31,772.06,773.99,000,773.99
2007-03-27,784.03,784.03,778.24,779.89,000,779.89
2007-03-26,784.17,784.66,777.02,784.63,000,784.63
2007-03-23,783.18,785.90,782.68,784.12,000,784.12
2007-03-22,783.40,784.78,780.65,783.30,000,783.30
2007-03-21,771.07,784.91,769.90,783.46,000,783.46
2007-03-20,765.47,770.81,764.84,770.59,000,770.59
2007-03-19,757.92,766.18,757.32,765.56,000,765.56
2007-03-16,760.34,762.91,755.63,757.32,000,757.32
2007-03-15,757.07,762.01,756.49,760.36,000,760.36
2007-03-14,752.76,757.75,744.55,757.15,000,757.15
2007-03-13,767.20,767.90,752.40,752.57,000,752.57
2007-03-12,765.67,769.55,763.60,768.09,000,768.09
2007-03-09,766.03,769.72,762.91,765.91,000,765.91
2007-03-08,759.74,768.53,759.69,765.18,000,765.18
2007-03-07,761.12,764.68,759.03,759.73,000,759.73
2007-03-06,751.27,763.03,749.81,761.57,000,761.57
2007-03-05,757.75,759.60,749.81,749.85,000,749.85
2007-03-02,766.74,766.90,757.64,757.83,000,757.83
2007-03-01,766.65,770.37,754.42,766.91,000,766.91
2007-02-28,764.86,773.64,763.16,768.66,000,768.66
2007-02-27,790.52,791.76,759.91,764.84,000,764.84
2007-02-26,795.77,796.16,789.67,791.38,000,791.38
2007-02-23,795.54,795.71,791.44,793.15,000,793.15
2007-02-22,796.80,798.86,792.65,795.79,000,795.79
2007-02-21,796.94,797.53,793.45,796.65,000,796.65
2007-02-20,794.41,798.00,791.56,797.58,000,797.58
2007-02-16,795.12,795.21,792.45,794.79,000,794.79
2007-02-15,793.97,795.83,793.14,795.23,000,795.23
2007-02-14,788.48,795.35,787.95,794.15,000,794.15
2007-02-13,782.36,788.12,781.97,788.11,000,788.11
2007-02-12,784.85,785.50,780.94,782.05,000,782.05
2007-02-09,790.94,792.95,782.24,784.99,000,784.99
2007-02-08,791.22,791.92,787.94,790.78,000,790.78
2007-02-07,790.85,793.22,789.68,791.69,000,791.69
2007-02-06,789.53,791.01,787.41,790.17,000,790.17
2007-02-05,789.54,790.52,787.45,789.27,000,789.27
2007-02-02,788.86,790.36,787.70,789.88,000,789.88
2007-02-01,784.41,788.82,783.93,788.46,000,788.46
2007-01-31,778.10,785.87,776.62,784.11,000,784.11
2007-01-30,778.83,778.83,774.68,778.79,000,778.79
2007-01-29,774.83,777.88,773.29,774.51,000,774.51
2007-01-26,776.04,777.39,772.10,774.97,000,774.97
2007-01-25,784.52,784.55,774.72,775.65,000,775.65
2007-01-24,777.72,784.31,777.49,784.31,000,784.31
2007-01-23,774.49,779.48,774.01,777.50,000,777.50
2007-01-22,779.00,779.36,773.32,774.73,000,774.73
2007-01-19,776.32,779.10,775.78,778.80,000,778.80
2007-01-18,778.72,780.54,775.18,776.39,000,776.39
2007-01-17,779.75,781.71,778.08,779.12,000,779.12
2007-01-16,778.99,781.14,778.19,779.86,000,779.86
2007-01-12,775.08,779.45,774.65,779.21,000,779.21
2007-01-11,769.93,776.98,769.92,775.30,000,775.30
2007-01-10,767.18,770.60,763.70,769.93,000,769.93
2007-01-09,768.21,769.56,764.11,767.89,000,767.89
2007-01-08,765.95,769.08,763.03,767.88,000,767.88
2007-01-05,770.62,770.62,763.94,766.12,000,766.12
2007-01-04,769.65,772.67,765.14,770.87,000,770.87
2007-01-03,770.52,776.32,764.58,769.59,000,769.59
2006-12-29,773.14,774.84,769.23,770.08,000,770.08
2006-12-28,774.52,774.94,772.12,773.54,000,773.54
2006-12-27,769.44,775.03,769.11,774.64,000,774.64
2006-12-26,765.80,769.79,765.72,769.31,000,769.31
2006-12-22,769.78,770.23,765.65,765.96,000,765.96
2006-12-21,772.94,774.61,768.66,769.93,000,769.93
2006-12-20,773.84,775.98,772.92,772.93,000,772.93
2006-12-19,771.84,775.32,768.05,773.88,000,773.88
2006-12-18,775.29,777.81,771.35,772.37,000,772.37
2006-12-15,774.70,777.61,774.40,775.08,000,775.08
2006-12-14,768.18,775.37,768.06,774.47,000,774.47
2006-12-13,767.82,770.19,767.01,768.10,000,768.10
2006-12-12,768.65,768.78,763.82,767.43,000,767.43
2006-12-11,766.87,770.05,766.20,768.62,000,768.62
2006-12-08,765.46,769.30,763.49,766.95,000,766.95
2006-12-07,768.92,771.63,765.41,765.66,000,765.66
2006-12-06,769.26,770.30,767.57,768.70,000,768.70
2006-12-05,766.84,770.00,766.25,769.65,000,769.65
2006-12-04,760.27,767.62,759.60,766.54,000,766.54
2006-12-01,761.43,762.58,753.64,759.61,000,759.61
2006-11-30,760.37,764.31,757.63,761.44,000,761.44
2006-11-29,753.70,761.31,753.12,760.50,000,760.50
2006-11-28,750.19,754.04,748.59,753.42,000,753.42
2006-11-27,761.48,761.48,750.75,750.95,000,750.95
2006-11-24,764.23,764.23,760.60,761.83,000,761.83
2006-11-22,762.45,765.02,762.04,764.31,000,764.31
2006-11-21,760.61,762.36,760.34,762.13,000,762.13
2006-11-20,760.49,762.68,759.24,760.61,000,760.61
2006-11-17,759.48,760.76,757.29,760.76,000,760.76
2006-11-16,758.98,762.10,758.44,760.14,000,760.14
2006-11-15,756.12,761.01,755.80,758.46,000,758.46
2006-11-14,751.45,756.83,748.54,756.36,000,756.36
2006-11-13,749.33,753.16,748.45,751.46,000,751.46
2006-11-10,747.92,749.56,746.61,749.56,000,749.56
2006-11-09,752.67,753.50,747.17,747.84,000,747.84
2006-11-08,749.50,753.23,746.35,751.72,000,751.72
2006-11-07,748.35,752.91,747.86,749.97,000,749.97
2006-11-06,740.19,749.27,739.85,748.32,000,748.32
2006-11-03,741.53,743.68,737.77,739.86,000,739.86
2006-11-02,741.35,741.89,738.24,741.31,000,741.31
2006-11-01,747.40,749.58,740.79,741.59,000,741.59
2006-10-31,747.81,749.23,744.25,747.30,000,747.30
2006-10-30,746.93,749.24,744.74,747.43,000,747.43
2006-10-27,752.78,753.22,746.39,747.07,000,747.07
2006-10-26,749.45,753.46,747.71,753.32,000,753.32
2006-10-25,746.81,749.88,745.71,749.16,000,749.16
2006-10-24,746.33,746.85,743.94,746.65,000,746.65
2006-10-23,741.62,746.75,739.48,746.50,000,746.50
2006-10-20,742.04,742.23,738.69,742.00,000,742.00
2006-10-19,740.77,742.37,738.91,741.52,000,741.52
2006-10-18,740.69,744.87,738.43,741.09,000,741.09
2006-10-17,742.26,743.24,736.43,740.18,000,740.18
2006-10-16,741.20,743.74,740.64,743.25,000,743.25
2006-10-13,739.43,741.64,738.25,741.14,000,741.14
2006-10-12,732.94,739.90,732.27,739.53,000,739.53
2006-10-11,733.29,734.54,728.76,732.29,000,732.29
2006-10-10,732.66,734.71,731.49,734.18,000,734.18
2006-10-09,731.30,733.77,729.87,732.64,000,732.64
2006-10-06,733.54,733.54,728.56,731.46,000,731.46
2006-10-05,730.77,733.81,730.13,733.56,000,733.56
2006-10-04,722.00,731.18,720.84,731.18,000,731.18
2006-10-03,720.86,724.57,718.53,722.26,000,722.26
2006-10-02,723.36,725.04,720.33,720.98,000,720.98
2006-09-29,725.43,725.92,723.37,723.48,000,723.48
2006-09-28,724.28,726.01,722.35,725.42,000,725.42
2006-09-27,723.43,726.11,722.52,724.19,000,724.19
2006-09-26,718.53,724.11,717.90,723.96,000,723.96
2006-09-25,713.15,720.13,710.44,718.61,000,718.61
2006-09-22,714.26,714.26,710.27,712.54,000,712.54
2006-09-21,718.64,720.11,713.09,714.46,000,714.46
2006-09-20,715.88,720.42,714.75,718.57,000,718.57
2006-09-19,716.50,716.83,711.18,714.77,000,714.77
2006-09-18,715.82,718.54,714.88,716.37,000,716.37
2006-09-15,715.01,718.69,715.01,715.95,000,715.95
2006-09-14,714.89,715.23,712.55,714.20,000,714.20
2006-09-13,711.98,716.24,711.35,715.27,000,715.27
2006-09-12,704.77,713.05,704.65,712.43,000,712.43
2006-09-11,703.83,706.23,699.68,704.66,000,704.66
2006-09-08,702.14,705.14,701.96,704.41,000,704.41
2006-09-07,704.89,705.86,700.65,701.86,000,701.86
2006-09-06,711.74,712.47,704.74,705.28,000,705.28
2006-09-05,711.18,713.30,709.97,712.58,000,712.58
2006-09-01,708.12,711.93,708.06,711.25,000,711.25
2006-08-31,707.62,708.72,706.56,707.55,000,707.55
2006-08-30,707.03,708.57,706.18,707.46,000,707.46
2006-08-29,705.49,707.49,702.10,707.13,000,707.13
2006-08-28,701.60,707.16,701.01,705.59,000,705.59
2006-08-25,701.70,703.72,700.06,701.57,000,701.57
2006-08-24,701.14,702.89,699.46,702.15,000,702.15
2006-08-23,704.07,705.58,698.74,700.69,000,700.69
2006-08-22,703.22,706.05,701.72,704.10,000,704.10
2006-08-21,705.57,705.57,702.20,703.31,000,703.31
2006-08-18,703.81,706.26,701.53,706.26,000,706.26
2006-08-17,702.59,705.86,701.48,703.90,000,703.90
2006-08-16,697.47,703.24,696.96,702.87,000,702.87
2006-08-15,688.44,697.41,687.38,697.11,000,697.11
2006-08-14,687.06,693.26,680.70,687.39,000,687.39
2006-08-11,689.05,689.43,684.00,686.50,000,686.50
2006-08-10,685.94,689.87,683.66,689.51,000,689.51
2006-08-09,690.65,696.17,685.77,686.41,000,686.41
2006-08-08,692.73,695.88,688.04,689.68,000,689.68
2006-08-07,694.03,694.47,690.64,692.25,000,692.25
2006-08-04,695.75,702.12,691.38,694.50,000,694.50
2006-08-03,692.74,696.80,689.29,694.87,000,694.87
2006-08-02,689.28,696.11,689.14,693.40,000,693.40
2006-08-01,692.36,692.36,686.42,689.24,000,689.24
2006-07-31,693.06,693.60,690.98,692.59,000,692.59
2006-07-28,685.28,694.30,684.66,693.38,000,693.38
2006-07-27,688.73,692.06,683.97,684.69,000,684.69
2006-07-26,688.06,691.05,684.44,688.07,000,688.07
2006-07-25,683.71,690.33,682.27,688.49,000,688.49
2006-07-24,672.75,684.57,672.38,683.76,000,683.76
2006-07-21,677.59,678.64,671.52,672.40,000,672.40
2006-07-20,684.48,685.79,677.88,677.88,000,677.88
2006-07-19,671.11,685.40,671.11,684.31,000,684.31
2006-07-18,670.43,673.37,664.77,671.56,000,671.56
2006-07-17,671.26,673.53,668.46,670.25,000,670.25
2006-07-14,675.06,675.22,667.12,671.30,000,671.30
2006-07-13,683.48,684.17,674.56,675.01,000,675.01
2006-07-12,691.32,692.11,683.47,684.18,000,684.18
2006-07-11,688.81,692.36,684.90,691.76,000,691.76
2006-07-10,689.01,693.24,687.78,689.33,000,689.33
2006-07-07,693.05,694.12,687.51,688.71,000,688.71
2006-07-06,691.70,695.82,691.49,693.47,000,693.47
2006-07-05,696.12,697.04,688.74,691.66,000,691.66
2006-07-03,692.43,697.19,691.67,697.08,000,697.08
2006-06-30,693.23,695.04,691.80,691.81,000,691.81
2006-06-29,679.19,693.05,678.33,693.04,000,693.04
2006-06-28,674.95,679.04,673.71,678.35,000,678.35
2006-06-27,681.13,682.58,674.78,674.96,000,674.96
2006-06-26,677.99,681.25,677.44,681.05,000,681.05
2006-06-23,677.70,682.25,675.66,677.84,000,677.84
2006-06-22,681.27,681.46,675.71,677.90,000,677.90
2006-06-21,674.75,684.61,674.57,681.61,000,681.61
2006-06-20,674.79,679.34,673.86,674.59,000,674.59
